,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07,-3.86850754319e-07
1,1.2481,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07,-3.91066979244e-07
2,1.2535,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07,-3.95310655099e-07
3,1.2588,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07,-3.99502495529e-07
4,1.2642,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07,-4.03800741511e-07
5,1.2696,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07,-4.08126615392e-07
6,1.275,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07,-4.12480175793e-07
7,1.2804,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07,-4.16861482888e-07
8,1.2857,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07,-4.21188690369e-07
9,1.2911,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07,-4.25625147349e-07
10,1.2965,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07,-4.30089525105e-07
11,1.3019,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07,-4.3458188137e-07
12,1.3073,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07,-4.39102275207e-07
13,1.3126,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07,-4.43566276154e-07
14,1.318,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07,-4.48142395637e-07
15,1.3234,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07,-4.52746724999e-07
16,1.3288,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07,-4.57379321972e-07
17,1.3342,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07,-4.62040243177e-07
18,1.3396,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07,-4.66729546567e-07
19,1.3449,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07,-4.7135966641e-07
20,1.3503,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07,-4.76105380232e-07
21,1.3557,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07,-4.80879646769e-07
22,1.3611,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07,-4.85682522422e-07
23,1.3665,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07,-4.90514066032e-07
24,1.3718,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07,-4.95284068425e-07
25,1.3772,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07,-5.00172583795e-07
26,1.3826,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07,-5.05089934988e-07
27,1.388,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07,-5.10036179291e-07
28,1.3934,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07,-5.15011372215e-07
29,1.3987,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07,-5.19922636943e-07
30,1.4041,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07,-5.24955358738e-07
31,1.4095,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07,-5.30017196354e-07
32,1.4149,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07,-5.35108205968e-07
33,1.4203,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07,-5.402284462e-07
34,1.4257,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07,-5.45377967009e-07
35,1.431,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07,-5.50460657944e-07
36,1.4364,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07,-5.5566837065e-07
37,1.4418,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07,-5.60905532909e-07
38,1.4472,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07,-5.66172199346e-07
39,1.4526,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07,-5.71468426136e-07
40,1.4579,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07,-5.76695372345e-07
41,1.4633,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07,-5.82050333708e-07
42,1.4687,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07,-5.87435019295e-07
43,1.4741,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07,-5.92849483505e-07
44,1.4795,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07,-5.98293781628e-07
45,1.4849,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07,-6.03767968732e-07
46,1.4902,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07,-6.09169896526e-07
47,1.4956,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07,-6.14703465462e-07
48,1.501,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07,-6.2026708525e-07
49,1.5064,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07,-6.25860808956e-07
50,1.5118,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07,-6.31484691871e-07
51,1.5171,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07,-6.37033806372e-07
52,1.5225,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07,-6.42717607136e-07
53,1.5279,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07,-6.48431726535e-07
54,1.5333,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07,-6.54176220083e-07
55,1.5387,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07,-6.59951138182e-07
56,1.544,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07,-6.65648751896e-07
57,1.5494,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07,-6.71484119641e-07
58,1.5548,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07,-6.77350072698e-07
59,1.5602,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07,-6.83246663913e-07
60,1.5656,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07,-6.89173948576e-07
61,1.571,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07,-6.95131977535e-07
62,1.5763,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07,-7.01009620574e-07
63,1.5817,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07,-7.07028727787e-07
64,1.5871,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07,-7.13078738945e-07
65,1.5925,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07,-7.1915970401e-07
66,1.5979,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07,-7.25271678492e-07
67,1.6032,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07,-7.31300670465e-07
68,1.6086,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07,-7.37474243451e-07
69,1.614,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07,-7.43678979509e-07
70,1.6194,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07,-7.49914932596e-07
71,1.6248,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07,-7.56182154005e-07
72,1.6302,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07,-7.62480698357e-07
73,1.6355,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07,-7.68693108943e-07
74,1.6409,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07,-7.75053868196e-07
75,1.6463,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07,-7.8144610427e-07
76,1.6517,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07,-7.87869867569e-07
77,1.6571,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07,-7.94325210274e-07
78,1.6624,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07,-8.00691766001e-07
79,1.6678,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07,-8.07209834752e-07
80,1.6732,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07,-8.13759636564e-07
81,1.6786,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07,-8.20341223173e-07
82,1.684,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07,-8.26954644539e-07
83,1.6893,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07,-8.33476600626e-07
84,1.6947,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07,-8.40153254078e-07
85,1.7001,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07,-8.46861895276e-07
86,1.7055,-8.53602577289e-07,-8.53602577289e-07,-8.53602577289e-07,-8.53602577289e-07,-8.53602577289e-07
87,1.7109,-8.60375346967e-07,-8.60375346967e-07,-8.60375346967e-07,-8.60375346967e-07,-8.60375346967e-07
88,1.7163,-8.6718025627e-07,-8.6718025627e-07,-8.6718025627e-07,-8.6718025627e-07,-8.6718025627e-07
89,1.7216,-8.73890452224e-07,-8.73890452224e-07,-8.73890452224e-07,-8.73890452224e-07,-8.73890452224e-07
90,1.727,-8.80759197353e-07,-8.80759197353e-07,-8.80759197353e-07,-8.80759197353e-07,-8.80759197353e-07
91,1.7324,-8.87660234206e-07,-8.87660234206e-07,-8.87660234206e-07,-8.87660234206e-07,-8.87660234206e-07
92,1.7378,-8.94593612077e-07,-8.94593612077e-07,-8.94593612077e-07,-8.94593612077e-07,-8.94593612077e-07
93,1.7432,-9.01559381816e-07,-9.01559381816e-07,-9.01559381816e-07,-9.01559381816e-07,-9.01559381816e-07
94,1.7485,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07,-9.08427701507e-07
95,1.7539,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07,-9.15457805117e-07
96,1.7593,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07,-9.22520448254e-07
97,1.7647,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07,-9.29615683987e-07
98,1.7701,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07,-9.3674356294e-07
99,1.7754,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07,-9.43771230499e-07
100,1.7808,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07,-9.50963934487e-07
101,1.7862,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07,-9.58189428024e-07
102,1.7916,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07,-9.65447761514e-07
103,1.797,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07,-9.72738984695e-07
104,1.8024,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07,-9.80063147304e-07
105,1.8077,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07,-9.87283754528e-07
106,1.8131,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07,-9.94673331478e-07
107,1.8185,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06,-1.00209599285e-06
108,1.8239,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06,-1.00955179216e-06
109,1.8293,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06,-1.01704077404e-06
110,1.8346,-1.0244233879e-06,-1.0244233879e-06,-1.0244233879e-06,-1.0244233879e-06,-1.0244233879e-06
111,1.84,-1.03197827017e-06,-1.03197827017e-06,-1.03197827017e-06,-1.03197827017e-06,-1.03197827017e-06
112,1.8454,-1.03956648401e-06,-1.03956648401e-06,-1.03956648401e-06,-1.03956648401e-06,-1.03956648401e-06
113,1.8508,-1.04718807692e-06,-1.04718807692e-06,-1.04718807692e-06,-1.04718807692e-06,-1.04718807692e-06
114,1.8562,-1.05484309643e-06,-1.05484309643e-06,-1.05484309643e-06,-1.05484309643e-06,-1.05484309643e-06
115,1.8616,2.41487047115e-06,-1.0625315956e-06,-1.0625315956e-06,-1.0625315956e-06,-1.0625315956e-06
116,1.8669,2.43209512907e-06,-9.50012431611e-07,-1.07011031303e-06,-1.07011031303e-06,-1.07011031303e-06
117,1.8723,2.44972037966e-06,-8.76345901624e-07,-1.0778652908e-06,-1.0778652908e-06,-1.0778652908e-06
118,1.8777,2.46742204779e-06,-8.28667301001e-07,-1.03726794265e-06,-1.08565388834e-06,-1.08565388834e-06
119,1.8831,2.48520023982e-06,-7.80321485205e-07,-8.98618918166e-07,-1.09347615829e-06,-1.09347615829e-06
120,1.8885,2.50305506944e-06,-7.44963831734e-07,-8.3159403852e-07,-1.10133214593e-06,-1.10133214593e-06
121,1.8938,2.52065388229e-06,-7.22736378078e-07,-7.63557439054e-07,-1.10907548545e-06,-1.10907548545e-06
122,1.8992,2.53866089062e-06,-7.00269671139e-07,-7.19484610112e-07,-1.11699843064e-06,-1.11699843064e-06
123,1.9046,2.55674486027e-06,-6.63582913951e-07,-6.74805322731e-07,-1.12495523608e-06,-1.12495523608e-06
124,1.91,2.57490590627e-06,-6.40362565862e-07,-6.54551144397e-07,-1.13294595194e-06,-1.13294595194e-06
125,1.9154,2.59314413098e-06,-6.16806964615e-07,-6.08807700919e-07,-1.14097062864e-06,-1.14097062864e-06
126,1.9207,2.61111976818e-06,-6.0695559756e-07,-5.87701191046e-07,-1.14887976554e-06,-1.14887976554e-06
127,1.9261,2.62951124985e-06,-5.82811253702e-07,-5.66362511334e-07,-1.15697187342e-06,-1.15697187342e-06
128,1.9315,2.6479802393e-06,-5.58332813316e-07,-5.44711787231e-07,-1.16509808046e-06,-1.16509808046e-06
129,1.9369,2.66652684178e-06,-5.47875871559e-07,-4.9700147331e-07,-1.17325843774e-06,-1.17325843774e-06
130,1.9423,2.68515116897e-06,-5.22805530423e-07,-4.74578335519e-07,-1.18145299122e-06,-1.18145299122e-06
131,1.9477,2.70385332812e-06,-5.11917845003e-07,-4.51843086946e-07,-1.18968178953e-06,-1.18968178953e-06
132,1.953,2.72228493658e-06,-4.86193311389e-07,-4.28740600134e-07,-1.19779154906e-06,-1.19779154906e-06
133,1.9584,2.74114163701e-06,-4.74874492618e-07,-4.05383551394e-07,-1.20608834364e-06,-1.20608834364e-06
134,1.9638,2.7600764918e-06,-4.63381700122e-07,-3.81713765263e-07,-1.21441952361e-06,-1.21441952361e-06
135,1.9692,2.77908960578e-06,-4.36870554399e-07,-3.57731099188e-07,-1.22278513914e-06,-1.22278513914e-06
136,1.9746,2.79818108928e-06,-4.24942027566e-07,-3.60188561643e-07,-1.23118523443e-06,-1.23118523443e-06
137,1.9799,2.81699533611e-06,-4.12785631232e-07,-3.35677332819e-07,-1.23946334818e-06,-1.23946334818e-06
138,1.9853,2.8362424247e-06,-4.0050669603e-07,-3.1089745911e-07,-1.24793190515e-06,-1.24793190515e-06
139,1.9907,2.85556819879e-06,-3.72883616206e-07,-2.85803315014e-07,-1.25643508575e-06,-1.25643508575e-06
140,1.9961,2.87497277096e-06,-3.60165191893e-07,-2.60394896312e-07,-1.26497293418e-06,-1.26497293418e-06
141,2.0015,2.89445624491e-06,-3.47268799938e-07,-2.62159534525e-07,-1.27354549884e-06,-1.27354549884e-06
142,2.0068,2.91365573934e-06,-3.34152244985e-07,-2.36228838268e-07,-1.28199311522e-06,-1.28199311522e-06
143,2.0122,2.93329587242e-06,-3.20899979034e-07,-2.10015596025e-07,-1.29063460585e-06,-1.29063460585e-06
144,2.0176,2.95301522435e-06,-3.07468083882e-07,-1.83487187222e-07,-1.2993109535e-06,-1.2993109535e-06
145,2.023,2.97281390305e-06,-2.93856013744e-07,-1.8471734986e-07,-1.30802220166e-06,-1.30802220166e-06
146,2.0284,2.99269201198e-06,-2.80063240599e-07,-1.57691154357e-07,-1.31676840009e-06,-1.31676840009e-06
147,2.0338,3.01264966218e-06,-2.6608923287e-07,-1.3034902091e-07,-1.3255495932e-06,-1.3255495932e-06
148,2.0391,3.03231516785e-06,-2.51902593895e-07,-1.31199854536e-07,-1.33420224602e-06,-1.33420224602e-06
149,2.0445,3.05243073129e-06,-2.37566415873e-07,-1.03359711456e-07,-1.09208103938e-06,-1.34305291954e-06
150,2.0499,3.07262614818e-06,-2.23047490255e-07,-7.5203072214e-08,-1.01519192741e-06,-1.35193872675e-06
151,2.0553,3.09290152378e-06,-2.08345324992e-07,-7.56992788453e-08,-9.37313873628e-07,-1.36085971603e-06
152,2.0607,3.11325696423e-06,-1.93459436026e-07,-4.7037778117e-08,-8.58468746312e-07,-1.36981592913e-06
153,2.066,3.13331340607e-06,-1.78367764114e-07,-4.73407699708e-08,-7.78584879679e-07,-1.37864058747e-06
154,2.0714,3.15382780114e-06,-1.79535529554e-07,-1.81753980755e-08,-7.83682368333e-07,-1.38766674018e-06
155,2.0768,3.17442257236e-06,-1.64180017581e-07,-1.82940453897e-08,-7.02441099065e-07,-1.39672825661e-06
156,2.0822,3.19509782676e-06,-1.48638720887e-07,1.13811755575e-08,-7.07016098112e-07,-1.40582518293e-06
157,2.0876,3.21585366647e-06,-1.32911191386e-07,4.13745104844e-08,-7.1160892734e-07,-1.41495756489e-06
158,2.093,3.23669019631e-06,-1.16996988098e-07,4.16426275685e-08,-6.29899808757e-07,-1.42412545134e-06
159,2.0983,3.25721942795e-06,-1.00883661425e-07,7.21401551829e-08,-6.3389500049e-07,-1.43315812862e-06
160,2.1037,3.27821615187e-06,-1.01533938146e-07,7.26052227229e-08,-5.50792062182e-07,-1.4423964978e-06
161,2.1091,3.29929387766e-06,-8.51406785074e-08,1.03622753045e-07,-5.54333401404e-07,-1.45167050469e-06
162,2.1145,3.32045270834e-06,-6.85588301685e-08,1.04287339209e-07,-5.57888366615e-07,-1.46098019549e-06
163,2.1199,3.34169274785e-06,-5.17879898965e-08,1.35822099345e-07,-4.72850766986e-07,-1.47032561859e-06
164,2.1252,3.36261851874e-06,-3.48236697256e-08,1.36672656303e-07,-4.75811723355e-07,-1.47953276697e-06
165,2.1306,3.38401977817e-06,-3.50452609155e-08,1.68723049754e-07,-3.89414701374e-07,-1.48894912266e-06
166,2.136,3.40550255418e-06,-1.77878636265e-08,1.69794192928e-07,-3.91886774587e-07,-1.49840134434e-06
167,2.1414,3.427066952e-06,-3.39678951633e-10,2.02365957325e-07,-3.9436823851e-07,-1.50788947861e-06
168,2.1468,3.44871307201e-06,-3.41781714042e-10,2.03644183738e-07,-3.06062516664e-07,-1.51741356902e-06
169,2.1521,3.47003790502e-06,1.74066676628e-08,2.36711794166e-07,-3.07954981071e-07,-1.52679629517e-06
170,2.1575,3.49184626325e-06,3.53472193737e-08,2.38199509894e-07,-3.09890355599e-07,-1.53639176848e-06
171,2.1629,3.51373665364e-06,5.3480258444e-08,2.7181604656e-07,-2.19698750747e-07,-1.54602333069e-06
172,2.1683,3.53570917344e-06,5.38147291174e-08,2.73515835758e-07,-2.21072552264e-07,-1.55569103333e-06
173,2.1737,3.55776393191e-06,7.22540658415e-08,3.07659405063e-07,-2.22451487897e-07,-1.56539491414e-06
174,2.1791,3.5799010254e-06,9.08871857774e-08,3.0957375774e-07,-2.23835578073e-07,-1.57513502552e-06
175,2.1844,3.60170833602e-06,9.14408757602e-08,3.11459593672e-07,-1.31171991047e-07,-1.58473003564e-06
176,2.1898,3.62400888365e-06,1.10381130458e-07,3.46337951207e-07,-1.31984114304e-07,-1.59454205928e-06
177,2.1952,3.64639207362e-06,1.29516413594e-07,3.48477096956e-07,-1.32799248931e-07,-1.60439044583e-06
178,2.2006,3.66885800585e-06,1.3031442414e-07,3.83887550637e-07,-1.3361739537e-07,-1.61427523881e-06
179,2.206,3.69140678602e-06,1.49761871793e-07,3.86246960637e-07,-3.85250040758e-08,-1.62419648175e-06
180,2.2113,3.71361865037e-06,1.69386399129e-07,4.22143354051e-07,-3.87567702376e-08,-1.63396948594e-06
181,2.2167,3.73633188611e-06,1.70422444601e-07,4.24725306036e-07,-3.89937677703e-08,-1.64396308611e-06
182,2.2221,3.75912826955e-06,1.90378947718e-07,4.27316708684e-07,-3.92316312769e-08,-1.65399327123e-06
183,2.2275,3.7820079033e-06,1.91537718131e-07,4.64007693157e-07,5.82992907283e-08,-1.66406008306e-06
184,2.2329,3.80497088592e-06,2.11811152617e-07,4.66825017753e-07,5.86533079883e-08,-1.67416356867e-06
185,2.2383,3.82801732135e-06,2.32282837853e-07,5.04054182837e-07,5.90086126628e-08,-1.68430377112e-06
186,2.2436,3.85071821674e-06,2.3366036439e-07,5.07043363296e-07,5.9358593596e-08,-1.69429193653e-06
187,2.249,3.87393030676e-06,2.54449497916e-07,5.10099853024e-07,1.59320050486e-07,-1.70450502424e-06
188,2.2544,3.89722614846e-06,2.75437952446e-07,5.48084190477e-07,1.60278164962e-07,-1.71475496069e-06
189,2.2598,3.92060584176e-06,2.77090363987e-07,5.51372218993e-07,1.61239728236e-07,-1.7250417903e-06
190,2.2652,3.94406948923e-06,2.98401203302e-07,5.89898868864e-07,1.62204746967e-07,-1.73536555748e-06
191,2.2705,3.96718035667e-06,3.0014977348e-07,5.93355507839e-07,1.63155256416e-07,-1.74553410348e-06
192,2.2759,3.99081064861e-06,3.2178254461e-07,5.9688983578e-07,2.66143998395e-07,-1.75593119156e-06
193,2.2813,4.01452519361e-06,3.236947137e-07,6.36179522395e-07,2.67725548397e-07,-1.76636534865e-06
194,2.2867,4.03832409024e-06,3.45653527578e-07,6.3995095978e-07,2.69312722789e-07,-1.7768366174e-06
195,2.2921,4.06220743576e-06,3.67814264823e-07,6.43735778905e-07,2.70905531785e-07,-1.78734504397e-06
196,2.2974,4.08573071242e-06,3.69944231693e-07,6.83723206496e-07,2.72474326213e-07,-1.7976950426e-06
197,2.3028,4.1097816923e-06,3.92431240392e-07,6.87748037631e-07,3.78492934772e-07,-1.80827722396e-06
198,2.3082,4.13391741683e-06,3.9473593727e-07,6.91787049867e-07,3.80715774906e-07,-1.81889669104e-06
199,2.3136,4.15813799126e-06,4.17553322141e-07,7.32621666e-07,3.8294642879e-07,-1.8295534896e-06
